d_model,seed,MSE,Pearson
16,42,0.098328814,-0.008291634
16,43,0.098288134,0.0015891206
32,42,0.0982617,0.0135463895
32,43,0.09827216,-0.008034513
64,42,0.09834424,-0.0038673007
64,43,0.09827941,-0.003728256
